# File: L101.en_bal_EJ_R_Si_Fi_Yh_full.csv
# Title: Includes energy balances and assumptions for total primary energy supply (TPES)
# Units: EJ
# Column types: iccin
# ---------
GCAM_region_ID,sector,fuel,year,value
1,cement,biomass,1971,0
1,cement,biomass,1972,0
1,cement,biomass,1973,0
1,cement,biomass,1974,0
1,cement,biomass,1975,0
1,cement,biomass,1976,0
1,cement,biomass,1977,0
1,cement,biomass,1978,0
1,cement,biomass,1979,0
1,cement,biomass,1980,0
1,cement,biomass,1981,0
1,cement,biomass,1982,0
1,cement,biomass,1983,0
1,cement,biomass,1984,0
1,cement,biomass,1985,0
1,cement,biomass,1986,0
1,cement,biomass,1987,0
1,cement,biomass,1988,0
1,cement,biomass,1989,0
1,cement,biomass,1990,0
1,cement,biomass,1991,0
1,cement,biomass,1992,0
1,cement,biomass,1993,0
1,cement,biomass,1994,0
1,cement,biomass,1995,0
1,cement,biomass,1996,0
1,cement,biomass,1997,0
1,cement,biomass,1998,0
1,cement,biomass,1999,0.01084174
1,cement,biomass,2000,0.01134406
1,cement,biomass,2001,0.01063244
1,cement,biomass,2002,0.01063244
1,cement,biomass,2003,0.0184184
1,cement,biomass,2004,0.01712074
1,cement,biomass,2005,0.01733004
1,cement,biomass,2006,0.018837
1,cement,biomass,2007,0.01971606
1,cement,biomass,2008,0.01959048
1,cement,biomass,2009,0.01812538
1,cement,biomass,2010,5.86E-04
1,cement,biomass,2011,6.70E-04
1,cement,biomass,2012,0.01607424
1,cement,biomass,2013,0.01712074
1,cement,biomass,2014,0.01787422
1,cement,biomass,2015,0.01812538
1,cement,biomass,2016,0.01724632
1,cement,biomass,2017,0.01180452
1,cement,biomass,2018,0.01712074
1,cement,biomass,2019,0.02088814
1,cement,biomass,2020,0.02419508
1,cement,biomass,2021,0.0234416
2,cement,biomass,1971,7.12E-04
2,cement,biomass,1972,7.12E-04
2,cement,biomass,1973,7.53E-04
2,cement,biomass,1974,7.12E-04
2,cement,biomass,1975,8.79E-04
2,cement,biomass,1976,8.79E-04
2,cement,biomass,1977,0.00150696
2,cement,biomass,1978,0.002093
2,cement,biomass,1979,0.00326508
2,cement,biomass,1980,0.00799526
2,cement,biomass,1981,0.00807898
2,cement,biomass,1982,0.00874874
2,cement,biomass,1983,0.00925106
2,cement,biomass,1984,0.0089999
2,cement,biomass,1985,0.00870688
2,cement,biomass,1986,0.0087906
2,cement,biomass,1987,0.00912548
2,cement,biomass,1988,0.00987896
2,cement,biomass,1989,0.01050686
2,cement,biomass,1990,0.01121848
2,cement,biomass,1991,0.01138592
2,cement,biomass,1992,0.01205568
2,cement,biomass,1993,0.01289288
2,cement,biomass,1994,0.01385566
2,cement,biomass,1995,0.01515332
2,cement,biomass,1996,0.0161161
2,cement,biomass,1997,0.01686958
2,cement,biomass,1998,0.01791608
2,cement,biomass,1999,0.01933932
2,cement,biomass,2000,0.0200928
2,cement,biomass,2001,0.02185092
2,cement,biomass,2002,0.02339974
2,cement,biomass,2003,0.02482298
2,cement,biomass,2004,0.02628808
2,cement,biomass,2005,0.02892526
2,cement,biomass,2006,0.03093454
2,cement,biomass,2007,0.03344614
2,cement,biomass,2008,0.03692052
2,cement,biomass,2009,0.03771586
2,cement,biomass,2010,0.03855306
2,cement,biomass,2011,0.03939026
2,cement,biomass,2012,0.04022746
2,cement,biomass,2013,0.04106466
2,cement,biomass,2014,0.04198558
2,cement,biomass,2015,0.04286464
2,cement,biomass,2016,0.04365998
2,cement,biomass,2017,0.04705064
2,cement,biomass,2018,0.04805528
2,cement,biomass,2019,0.04868318
2,cement,biomass,2020,0.05035758
2,cement,biomass,2021,0.05203198
3,cement,biomass,1971,0
3,cement,biomass,1972,0
3,cement,biomass,1973,0
3,cement,biomass,1974,0
3,cement,biomass,1975,0
3,cement,biomass,1976,0
3,cement,biomass,1977,0
3,cement,biomass,1978,0
3,cement,biomass,1979,0
3,cement,biomass,1980,0
3,cement,biomass,1981,0
3,cement,biomass,1982,0
3,cement,biomass,1983,0
3,cement,biomass,1984,0
3,cement,biomass,1985,0
3,cement,biomass,1986,0
3,cement,biomass,1987,0
3,cement,biomass,1988,0
3,cement,biomass,1989,0
3,cement,biomass,1990,0
3,cement,biomass,1991,0
3,cement,biomass,1992,0
3,cement,biomass,1993,0
3,cement,biomass,1994,0
3,cement,biomass,1995,0
3,cement,biomass,1996,0
3,cement,biomass,1997,0
3,cement,biomass,1998,0
3,cement,biomass,1999,0
3,cement,biomass,2000,0
3,cement,biomass,2001,0
3,cement,biomass,2002,0
3,cement,biomass,2003,0
3,cement,biomass,2004,7.12E-04
3,cement,biomass,2005,7.12E-04
3,cement,biomass,2006,7.53E-04
3,cement,biomass,2007,7.95E-04
3,cement,biomass,2008,8.37E-04
3,cement,biomass,2009,7.95E-04
3,cement,biomass,2010,0.00372554
3,cement,biomass,2011,0.00401856
3,cement,biomass,2012,0.004186
3,cement,biomass,2013,0.00406042
3,cement,biomass,2014,0.00385112
3,cement,biomass,2015,0.00372554
3,cement,biomass,2016,0.00368368
3,cement,biomass,2017,0.00372554
3,cement,biomass,2018,0.00372554
3,cement,biomass,2019,0.00380926
3,cement,biomass,2020,0.00351624
3,cement,biomass,2021,0.00389298
4,cement,biomass,1971,0
4,cement,biomass,1972,0
4,cement,biomass,1973,0
4,cement,biomass,1974,0
4,cement,biomass,1975,0
4,cement,biomass,1976,0
4,cement,biomass,1977,0
4,cement,biomass,1978,0
4,cement,biomass,1979,0
4,cement,biomass,1980,0
4,cement,biomass,1981,0
4,cement,biomass,1982,0
4,cement,biomass,1983,0
4,cement,biomass,1984,0
4,cement,biomass,1985,0
4,cement,biomass,1986,0
4,cement,biomass,1987,0
4,cement,biomass,1988,0
4,cement,biomass,1989,0
4,cement,biomass,1990,0
4,cement,biomass,1991,0
4,cement,biomass,1992,0
4,cement,biomass,1993,0
4,cement,biomass,1994,0
4,cement,biomass,1995,0
4,cement,biomass,1996,0
4,cement,biomass,1997,0
4,cement,biomass,1998,0
4,cement,biomass,1999,0
4,cement,biomass,2000,0
4,cement,biomass,2001,0
4,cement,biomass,2002,0
4,cement,biomass,2003,0
4,cement,biomass,2004,0
4,cement,biomass,2005,0
4,cement,biomass,2006,0
4,cement,biomass,2007,0
4,cement,biomass,2008,0
4,cement,biomass,2009,0
4,cement,biomass,2010,0
4,cement,biomass,2011,3.77E-04
4,cement,biomass,2012,8.79E-04
4,cement,biomass,2013,0.00117208
4,cement,biomass,2014,0.0012558
4,cement,biomass,2015,0.00129766
4,cement,biomass,2016,0.00129766
4,cement,biomass,2017,0.00129766
4,cement,biomass,2018,0.00129766
4,cement,biomass,2019,0.00129766
4,cement,biomass,2020,0.00117208
4,cement,biomass,2021,0.00121394
5,cement,biomass,1971,0
5,cement,biomass,1972,0
5,cement,biomass,1973,0
5,cement,biomass,1974,0
5,cement,biomass,1975,0
5,cement,biomass,1976,0
5,cement,biomass,1977,0
5,cement,biomass,1978,0
5,cement,biomass,1979,0
5,cement,biomass,1980,0
5,cement,biomass,1981,0
5,cement,biomass,1982,0
5,cement,biomass,1983,0
5,cement,biomass,1984,0
5,cement,biomass,1985,0
5,cement,biomass,1986,0
5,cement,biomass,1987,0
5,cement,biomass,1988,0
5,cement,biomass,1989,0
5,cement,biomass,1990,0
5,cement,biomass,1991,0
5,cement,biomass,1992,0
5,cement,biomass,1993,0
5,cement,biomass,1994,0
5,cement,biomass,1995,0
5,cement,biomass,1996,0
5,cement,biomass,1997,0
5,cement,biomass,1998,0
5,cement,biomass,1999,0
