# Consumption of energy by the building sector by fuel and historical year. Aggregated by fuel and country
# ** PRE-BUILT; RAW IEA DATA NOT AVAILABLE **
iso,sector,fuel,year,value
abw,in_bld_comm,biomass,1971,2.02E-06
abw,in_bld_comm,coal,1971,3.04E-06
abw,in_bld_comm,electricity,1971,2.35E-04
abw,in_bld_comm,gas,1971,3.04E-06
abw,in_bld_comm,refined liquids,1971,4.67E-04
abw,in_bld_resid,biomass,1971,3.04E-06
abw,in_bld_resid,coal,1971,2.02E-06
abw,in_bld_resid,electricity,1971,2.37E-04
abw,in_bld_resid,gas,1971,1.01E-06
abw,in_bld_resid,refined liquids,1971,2.12E-05
abw,in_bld_resid,traditional biomass,1971,3.14E-05
afg,in_bld_comm,biomass,1971,0
afg,in_bld_comm,coal,1971,6.04E-04
afg,in_bld_comm,electricity,1971,8.63E-05
afg,in_bld_comm,gas,1971,0.005577546
afg,in_bld_comm,refined liquids,1971,0.025357708
afg,in_bld_resid,biomass,1971,9.49E-04
afg,in_bld_resid,coal,1971,0
afg,in_bld_resid,electricity,1971,8.05E-04
afg,in_bld_resid,gas,1971,0
afg,in_bld_resid,refined liquids,1971,0.001351261
afg,in_bld_resid,traditional biomass,1971,0.06698805
ago,in_bld_comm,refined liquids,1971,0
ago,in_bld_resid,biomass,1971,0.01498588
ago,in_bld_resid,electricity,1971,0.00138138
ago,in_bld_resid,refined liquids,1971,0.00175812
ago,in_bld_resid,traditional biomass,1971,0.08125026
alb,in_bld_comm,biomass,1971,0
alb,in_bld_comm,coal,1971,0.0039767
alb,in_bld_comm,electricity,1971,0.0039767
alb,in_bld_comm,gas,1971,0.00443716
alb,in_bld_comm,refined liquids,1971,0.00385112
alb,in_bld_resid,biomass,1971,0
alb,in_bld_resid,coal,1971,0
alb,in_bld_resid,electricity,1971,0
alb,in_bld_resid,gas,1971,0
alb,in_bld_resid,heat,1971,0
alb,in_bld_resid,refined liquids,1971,6.28E-04
alb,in_bld_resid,traditional biomass,1971,0.0156975
ant,in_bld_comm,biomass,1971,5.80E-06
ant,in_bld_comm,coal,1971,8.70E-06
ant,in_bld_comm,electricity,1971,6.73E-04
ant,in_bld_comm,gas,1971,8.70E-06
ant,in_bld_comm,refined liquids,1971,0.001340087
ant,in_bld_resid,biomass,1971,8.70E-06
ant,in_bld_resid,coal,1971,5.80E-06
ant,in_bld_resid,electricity,1971,6.79E-04
ant,in_bld_resid,gas,1971,2.90E-06
ant,in_bld_resid,refined liquids,1971,6.09E-05
ant,in_bld_resid,traditional biomass,1971,8.99E-05
are,in_bld_comm,biomass,1971,0
are,in_bld_comm,electricity,1971,2.51E-04
are,in_bld_resid,electricity,1971,3.35E-04
are,in_bld_resid,refined liquids,1971,0
arg,in_bld_comm,biomass,1971,0.00359996
arg,in_bld_comm,electricity,1971,0.01385566
arg,in_bld_comm,gas,1971,0.01222312
arg,in_bld_comm,refined liquids,1971,0.01184638
arg,in_bld_resid,biomass,1971,0.0054418
arg,in_bld_resid,electricity,1971,0.01892072
arg,in_bld_resid,gas,1971,0.0372554
arg,in_bld_resid,refined liquids,1971,0.08459906
arg,in_bld_resid,traditional biomass,1971,0.01293474
arm,in_bld_comm,biomass,1971,0
arm,in_bld_comm,coal,1971,0.003057694
arm,in_bld_comm,electricity,1971,0.002208062
arm,in_bld_comm,gas,1971,0.005947372
arm,in_bld_comm,heat,1971,5.30E-04
arm,in_bld_comm,refined liquids,1971,0.001470997
arm,in_bld_resid,biomass,1971,0
arm,in_bld_resid,coal,1971,0
arm,in_bld_resid,electricity,1971,0
arm,in_bld_resid,gas,1971,0
arm,in_bld_resid,heat,1971,0
arm,in_bld_resid,refined liquids,1971,4.96E-04
arm,in_bld_resid,traditional biomass,1971,0
atg,in_bld_comm,biomass,1971,2.23E-06
atg,in_bld_comm,coal,1971,3.34E-06
atg,in_bld_comm,electricity,1971,2.58E-04
atg,in_bld_comm,gas,1971,3.34E-06
atg,in_bld_comm,refined liquids,1971,5.15E-04
atg,in_bld_resid,biomass,1971,3.34E-06
atg,in_bld_resid,coal,1971,2.23E-06
atg,in_bld_resid,electricity,1971,2.61E-04
atg,in_bld_resid,gas,1971,1.11E-06
atg,in_bld_resid,refined liquids,1971,2.34E-05
atg,in_bld_resid,traditional biomass,1971,3.45E-05
aus,in_bld_comm,biomass,1971,0
