# File: A10.EB_trn_SecFuel_mtoe.csv
# Title: Database of fuel consumption across transport sector
# Units: Energy units in mtoe
# Source:  GHG platform
# Column types: cccccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
State,GHG_Platform_sectors,GHG_Platform_fuels,sector,fuel,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
India,trn_aviation_intl,oil,trn_aviation_intl,refined liquids,0.01689051,0.01818817,0.01735097,0.0186277,0.02000908,0.02132767,0.02321137,0.0257439,0.02551367,0.02509507,0.02513693,0.0255346,0.02693691,0.02978339,0.03237871,0.03572751,0.03687866,0.03817632,0.03957863,0.03740191,0.03476473,0.03489031,0.03880422,0.04242511,0.04640181,0.04811807,0.04700878,0.0470925,0.0489762,0.05014828,0.05029479,0.05058781,0.05538078,0.06266442,0.07348523,0.08880599,0.10128027,0.09860123,0.10316397,0.1132313,0.12344514,0.11752195,0.12271259,0.12758928,0.1396031,0.15603315,0.17018183,0.18506306,0.17834453,0.08244327,0.11164062
India,trn_aviation_intl,electricity,trn_aviation_intl,electricity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,trn_aviation_intl,hydrogen,trn_aviation_intl,hydrogen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,trn_freight_dom_ship,oil,trn_freight,refined liquids,0.01689051,0.01818817,0.01735097,0.0186277,0.02000908,0.02132767,0.02321137,0.0257439,0.02551367,0.02509507,0.02513693,0.0255346,0.02693691,0.02978339,0.03237871,0.03572751,0.03687866,0.03817632,0.03957863,0.023316,0.03476473,0.03489031,0.03880422,0.04242511,0.04640181,0.04811807,0.04700878,0.0470925,0.0489762,0.05014828,0.05029479,0.05058781,0.05538078,0.06266442,0.026874,0.08880599,0.10128027,0.09860123,0.10316397,0.033948,0.12344514,0.11752195,0.12271259,0.12758928,0.029344,0.15603315,0.17018183,0.18506306,0.17834453,0.08244327,0.067688
India,trn_freight_dom_ship,hybrid oil,trn_freight,refined liquids,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,trn_freight_dom_ship,hydrogen,trn_freight,hydrogen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,trn_freight_rail,coal,trn_freight,coal,0.26514124,0.25622506,0.2339974,0.23893688,0.24098802,0.221858,0.21813246,0.2124395,0.19896058,0.20683026,0.19720246,0.19176066,0.18740722,0.16568188,0.16831906,0.14219842,0.13223574,0.1180452,0.10159422,0.09175712,0.08987342,0.07601776,0.0351624,0.01167894,0.00468832,0.00242788,0.0010465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,trn_freight_rail,electricity,trn_freight,electricity,0.003076965,0.003451055,0.002900963,0.002901774,0.003516472,0.0040905,0.004353231,0.004134892,0.004354306,0.004287272,0.004730595,0.004970832,0.005125608,0.005456866,0.005828858,0.006103888,0.006786193,0.007557336,0.007624319,0.007711958,0.008476527,0.009518856,0.010536967,0.011046625,0.011679189,0.012379415,0.013064176,0.013742733,0.015198887,0.015442369,0.015246966,0.016539331,0.017313248,0.018014483,0.018632353,0.020153557,0.020625503,0.021932575,0.023009164,0.024690606,0.026317347,0.026151867,0.02884339,0.030154562,0.031019393,0.029147068,0.032192659,0.034779082,0.035257427,0.026875023,0.037506014
India,trn_freight_rail,oil,trn_freight,refined liquids,0.005378417,0.005784281,0.006083188,0.006895872,0.007305556,0.007652212,0.008200367,0.00884593,0.009990945,0.010425458,0.010966929,0.008506914,0.009137197,0.00979804,0.010649877,0.011583842,0.012745091,0.013899656,0.01600251,0.016338661,0.017275491,0.018190357,0.019274253,0.020594983,0.023184874,0.024897144,0.025649664,0.026556889,0.027947333,0.028579526,0.028481163,0.02934064,0.029694936,0.03217787,0.033896824,0.035220419,0.041634984,0.047743957,0.052363169,0.056778017,0.061034338,0.06512545,0.066450955,0.06945626,0.076198381,0.07905471,0.085210476,0.08902751,0.089749471,0.080427008,0.087177724
India,trn_freight_rail,hybrid oil,trn_freight,refined liquids,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
