# File: A44.india_state_pcflsp_m2_res_rural.csv
# Title: This file contains per capita flsp in all historical years
# Source:Website
# Units: NA
# Column types:cin
# -----------------------------------------
state,year,value
India,1961,11.1
India,1962,11.1
India,1963,11.1
India,1964,11.1
India,1965,11.1
India,1966,11.1
India,1967,11.1
India,1968,11.1
India,1969,11.1
India,1970,11.1
India,1971,11.1
India,1972,11.1
India,1973,11.1
India,1974,11.1
India,1975,5.800621
India,1976,11.1
India,1977,11.1
India,1978,11.1
India,1979,11.1
India,1980,11.1
India,1981,11.1
India,1982,11.1
India,1983,11.1
India,1984,11.1
India,1985,11.1
India,1986,11.1
India,1987,11.1
India,1988,11.1
India,1989,11.1
India,1990,7.958278
India,1991,11.1
India,1992,11.1
India,1993,11.1
India,1994,11.1
India,1995,11.1
India,1996,11.1
India,1997,11.1
India,1998,11.1
India,1999,11.1
India,2000,11.1
India,2001,11.1
India,2002,11.1
India,2003,11.1
India,2004,11.1
India,2005,10.40504
India,2006,11.1
India,2007,11.1
India,2008,11.1
India,2009,11.1
India,2010,10.52178
India,2011,11.1
India,2012,11.1
India,2013,11.1
India,2014,11.1
India,2015,10.52178
India,2016,11.1
India,2017,11.1
India,2018,11.1
India,2019,11.1
India,2020,11.1
India,2021,10.52178
