# File: A54.india_StubTranTechCoef.csv
# Title: Transport coefficient values for India - Have to change values for new added fuels. Right now NG values are taken
# Units: NA
# Column types: ccccicnc
# ----------
region,supplysector,tranSubsector,stub.technology,year,minicam.energy.input,coefficient,market.name
India,trn_aviation_intl,International Aviation,Liquids,1975,refined liquids enduse,407544.11,India
India,trn_aviation_intl,International Aviation,Liquids,1990,refined liquids enduse,407544.11,India
India,trn_aviation_intl,International Aviation,Liquids,2005,refined liquids enduse,407544.11,India
India,trn_aviation_intl,International Aviation,Liquids,2010,refined liquids enduse,407544.11,India
India,trn_aviation_intl,International Aviation,Liquids,2015,refined liquids enduse,407544.11,India
India,trn_aviation_intl,International Aviation,Liquids,2021,refined liquids enduse,396137.6328,India
India,trn_aviation_intl,International Aviation,Liquids,2025,refined liquids enduse,350511.7238,India
India,trn_aviation_intl,International Aviation,Liquids,2030,refined liquids enduse,315457.8123,India
India,trn_aviation_intl,International Aviation,Liquids,2035,refined liquids enduse,297051.2248,India
India,trn_aviation_intl,International Aviation,Liquids,2040,refined liquids enduse,297051.2248,India
India,trn_aviation_intl,International Aviation,Liquids,2045,refined liquids enduse,297051.2248,India
India,trn_aviation_intl,International Aviation,Liquids,2050,refined liquids enduse,297051.2248,India
India,trn_aviation_intl,International Aviation,Liquids,2055,refined liquids enduse,297051.2248,India
India,trn_aviation_intl,International Aviation,Liquids,2060,refined liquids enduse,297051.2248,India
India,trn_aviation_intl,International Aviation,Liquids,2065,refined liquids enduse,297051.2248,India
India,trn_aviation_intl,International Aviation,Liquids,2070,refined liquids enduse,297051.2248,India
India,trn_aviation_intl,International Aviation,Liquids,2075,refined liquids enduse,297051.2248,India
India,trn_aviation_intl,International Aviation,Liquids,2080,refined liquids enduse,297051.2248,India
India,trn_aviation_intl,International Aviation,Liquids,2085,refined liquids enduse,297051.2248,India
India,trn_aviation_intl,International Aviation,Liquids,2090,refined liquids enduse,297051.2248,India
India,trn_aviation_intl,International Aviation,Liquids,2095,refined liquids enduse,297051.2248,India
India,trn_aviation_intl,International Aviation,Liquids,2100,refined liquids enduse,297051.2248,India
India,trn_aviation_intl,International Aviation,BEV,1975,elect_td_trn,297051.2248,India
India,trn_aviation_intl,International Aviation,BEV,1990,elect_td_trn,297051.2248,India
India,trn_aviation_intl,International Aviation,BEV,2005,elect_td_trn,297051.2248,India
India,trn_aviation_intl,International Aviation,BEV,2010,elect_td_trn,297051.2248,India
India,trn_aviation_intl,International Aviation,BEV,2015,elect_td_trn,297051.2248,India
India,trn_aviation_intl,International Aviation,BEV,2021,elect_td_trn,297051.2248,India
India,trn_aviation_intl,International Aviation,BEV,2025,elect_td_trn,297051.2248,India
India,trn_aviation_intl,International Aviation,BEV,2030,elect_td_trn,297051.2248,India
India,trn_aviation_intl,International Aviation,BEV,2035,elect_td_trn,297051.2248,India
India,trn_aviation_intl,International Aviation,BEV,2040,elect_td_trn,297051.2248,India
India,trn_aviation_intl,International Aviation,BEV,2045,elect_td_trn,297051.2248,India
India,trn_aviation_intl,International Aviation,BEV,2050,elect_td_trn,297051.2248,India
India,trn_aviation_intl,International Aviation,BEV,2055,elect_td_trn,297051.2248,India
India,trn_aviation_intl,International Aviation,BEV,2060,elect_td_trn,297051.2248,India
India,trn_aviation_intl,International Aviation,BEV,2065,elect_td_trn,297051.2248,India
India,trn_aviation_intl,International Aviation,BEV,2070,elect_td_trn,297051.2248,India
India,trn_aviation_intl,International Aviation,BEV,2075,elect_td_trn,297051.2248,India
India,trn_aviation_intl,International Aviation,BEV,2080,elect_td_trn,297051.2248,India
India,trn_aviation_intl,International Aviation,BEV,2085,elect_td_trn,297051.2248,India
India,trn_aviation_intl,International Aviation,BEV,2090,elect_td_trn,297051.2248,India
India,trn_aviation_intl,International Aviation,BEV,2095,elect_td_trn,297051.2248,India
India,trn_aviation_intl,International Aviation,BEV,2100,elect_td_trn,297051.2248,India
