# File: A54.india_StubTranTechLoadFactor.csv
# Title: Load factor of passenger and freight sub technology wise
# Units: Number of people/ tons per vehicle
# Column types: ccccin
# ----------
region,supplysector,tranSubsector,stub.technology,year,loadFactor
India,trn_aviation_intl,International Aviation,Liquids,1975,223.95
India,trn_aviation_intl,International Aviation,Liquids,1990,223.95
India,trn_aviation_intl,International Aviation,Liquids,2005,223.95
India,trn_aviation_intl,International Aviation,Liquids,2010,229.75
India,trn_aviation_intl,International Aviation,Liquids,2015,235.55
India,trn_aviation_intl,International Aviation,Liquids,2021,241.35
India,trn_aviation_intl,International Aviation,Liquids,2025,245.68
India,trn_aviation_intl,International Aviation,Liquids,2030,250
India,trn_aviation_intl,International Aviation,Liquids,2035,254.33
India,trn_aviation_intl,International Aviation,Liquids,2040,256.91
India,trn_aviation_intl,International Aviation,Liquids,2045,259.49
India,trn_aviation_intl,International Aviation,Liquids,2050,262.07
India,trn_aviation_intl,International Aviation,Liquids,2055,262.07
India,trn_aviation_intl,International Aviation,Liquids,2060,262.07
India,trn_aviation_intl,International Aviation,Liquids,2065,262.07
India,trn_aviation_intl,International Aviation,Liquids,2070,262.07
India,trn_aviation_intl,International Aviation,Liquids,2075,262.07
India,trn_aviation_intl,International Aviation,Liquids,2080,262.07
India,trn_aviation_intl,International Aviation,Liquids,2085,262.07
India,trn_aviation_intl,International Aviation,Liquids,2090,262.07
India,trn_aviation_intl,International Aviation,Liquids,2095,262.07
India,trn_aviation_intl,International Aviation,Liquids,2100,262.07
India,trn_aviation_intl,International Aviation,BEV,1975,223.95
India,trn_aviation_intl,International Aviation,BEV,1990,223.95
India,trn_aviation_intl,International Aviation,BEV,2005,223.95
India,trn_aviation_intl,International Aviation,BEV,2010,229.75
India,trn_aviation_intl,International Aviation,BEV,2015,235.55
India,trn_aviation_intl,International Aviation,BEV,2021,241.35
India,trn_aviation_intl,International Aviation,BEV,2025,245.68
India,trn_aviation_intl,International Aviation,BEV,2030,250
India,trn_aviation_intl,International Aviation,BEV,2035,254.33
India,trn_aviation_intl,International Aviation,BEV,2040,256.91
India,trn_aviation_intl,International Aviation,BEV,2045,259.49
India,trn_aviation_intl,International Aviation,BEV,2050,262.07
India,trn_aviation_intl,International Aviation,BEV,2055,262.07
India,trn_aviation_intl,International Aviation,BEV,2060,262.07
India,trn_aviation_intl,International Aviation,BEV,2065,262.07
India,trn_aviation_intl,International Aviation,BEV,2070,262.07
India,trn_aviation_intl,International Aviation,BEV,2075,262.07
India,trn_aviation_intl,International Aviation,BEV,2080,262.07
India,trn_aviation_intl,International Aviation,BEV,2085,262.07
India,trn_aviation_intl,International Aviation,BEV,2090,262.07
India,trn_aviation_intl,International Aviation,BEV,2095,262.07
India,trn_aviation_intl,International Aviation,BEV,2100,262.07
India,trn_aviation_intl,International Aviation,Hydrogen,1975,223.95
India,trn_aviation_intl,International Aviation,Hydrogen,1990,223.95
India,trn_aviation_intl,International Aviation,Hydrogen,2005,223.95
India,trn_aviation_intl,International Aviation,Hydrogen,2010,229.75
India,trn_aviation_intl,International Aviation,Hydrogen,2015,235.55
India,trn_aviation_intl,International Aviation,Hydrogen,2021,241.35
India,trn_aviation_intl,International Aviation,Hydrogen,2025,245.68
India,trn_aviation_intl,International Aviation,Hydrogen,2030,250
India,trn_aviation_intl,International Aviation,Hydrogen,2035,254.33
India,trn_aviation_intl,International Aviation,Hydrogen,2040,256.91
India,trn_aviation_intl,International Aviation,Hydrogen,2045,259.49
India,trn_aviation_intl,International Aviation,Hydrogen,2050,262.07
India,trn_aviation_intl,International Aviation,Hydrogen,2055,262.07
India,trn_aviation_intl,International Aviation,Hydrogen,2060,262.07
India,trn_aviation_intl,International Aviation,Hydrogen,2065,262.07
India,trn_aviation_intl,International Aviation,Hydrogen,2070,262.07
India,trn_aviation_intl,International Aviation,Hydrogen,2075,262.07
India,trn_aviation_intl,International Aviation,Hydrogen,2080,262.07
India,trn_aviation_intl,International Aviation,Hydrogen,2085,262.07
India,trn_aviation_intl,International Aviation,Hydrogen,2090,262.07
India,trn_aviation_intl,International Aviation,Hydrogen,2095,262.07
India,trn_aviation_intl,International Aviation,Hydrogen,2100,262.07
India,trn_freight,Domestic Ship,Liquids,1975,1000
India,trn_freight,Domestic Ship,Liquids,1990,1000
India,trn_freight,Domestic Ship,Liquids,2005,1000
India,trn_freight,Domestic Ship,Liquids,2010,1000
India,trn_freight,Domestic Ship,Liquids,2015,1000
India,trn_freight,Domestic Ship,Liquids,2021,1000
India,trn_freight,Domestic Ship,Liquids,2025,1000
India,trn_freight,Domestic Ship,Liquids,2030,1000
India,trn_freight,Domestic Ship,Liquids,2035,1000
India,trn_freight,Domestic Ship,Liquids,2040,1000
India,trn_freight,Domestic Ship,Liquids,2045,1000
India,trn_freight,Domestic Ship,Liquids,2050,1000
India,trn_freight,Domestic Ship,Liquids,2055,1000
India,trn_freight,Domestic Ship,Liquids,2060,1000
India,trn_freight,Domestic Ship,Liquids,2065,1000
India,trn_freight,Domestic Ship,Liquids,2070,1000
India,trn_freight,Domestic Ship,Liquids,2075,1000
India,trn_freight,Domestic Ship,Liquids,2080,1000
India,trn_freight,Domestic Ship,Liquids,2085,1000
India,trn_freight,Domestic Ship,Liquids,2090,1000
India,trn_freight,Domestic Ship,Liquids,2095,1000
India,trn_freight,Domestic Ship,Liquids,2100,1000
India,trn_freight,Domestic Ship,FCEV,1975,1000
India,trn_freight,Domestic Ship,FCEV,1990,1000
India,trn_freight,Domestic Ship,FCEV,2005,1000
India,trn_freight,Domestic Ship,FCEV,2010,1000
India,trn_freight,Domestic Ship,FCEV,2015,1000
India,trn_freight,Domestic Ship,FCEV,2021,1000
India,trn_freight,Domestic Ship,FCEV,2025,1000
India,trn_freight,Domestic Ship,FCEV,2030,1000
India,trn_freight,Domestic Ship,FCEV,2035,1000
India,trn_freight,Domestic Ship,FCEV,2040,1000
India,trn_freight,Domestic Ship,FCEV,2045,1000
India,trn_freight,Domestic Ship,FCEV,2050,1000
India,trn_freight,Domestic Ship,FCEV,2055,1000
India,trn_freight,Domestic Ship,FCEV,2060,1000
India,trn_freight,Domestic Ship,FCEV,2065,1000
India,trn_freight,Domestic Ship,FCEV,2070,1000
India,trn_freight,Domestic Ship,FCEV,2075,1000
India,trn_freight,Domestic Ship,FCEV,2080,1000
India,trn_freight,Domestic Ship,FCEV,2085,1000
India,trn_freight,Domestic Ship,FCEV,2090,1000
India,trn_freight,Domestic Ship,FCEV,2095,1000
India,trn_freight,Domestic Ship,FCEV,2100,1000
India,trn_freight,Domestic Ship,Hybrid Liquids,1975,1000
India,trn_freight,Domestic Ship,Hybrid Liquids,1990,1000
India,trn_freight,Domestic Ship,Hybrid Liquids,2005,1000
India,trn_freight,Domestic Ship,Hybrid Liquids,2010,1000
India,trn_freight,Domestic Ship,Hybrid Liquids,2015,1000
India,trn_freight,Domestic Ship,Hybrid Liquids,2021,1000
India,trn_freight,Domestic Ship,Hybrid Liquids,2025,1000
India,trn_freight,Domestic Ship,Hybrid Liquids,2030,1000
India,trn_freight,Domestic Ship,Hybrid Liquids,2035,1000
India,trn_freight,Domestic Ship,Hybrid Liquids,2040,1000
India,trn_freight,Domestic Ship,Hybrid Liquids,2045,1000
India,trn_freight,Domestic Ship,Hybrid Liquids,2050,1000
India,trn_freight,Domestic Ship,Hybrid Liquids,2055,1000
