# File:A54.india_globaltranTech_shrwt.csv
# Title: Transportation technology default shareweights
# Units: Unitless
# Column types: ccccii
# ----------
region,supplysector,subsector,technology,year,share.weight
India,trn_aviation_intl,International Aviation,Liquids,1971,1
India,trn_aviation_intl,International Aviation,Liquids,2010,1
India,trn_aviation_intl,International Aviation,Liquids,2015,1
India,trn_aviation_intl,International Aviation,Liquids,2021,1
India,trn_aviation_intl,International Aviation,Liquids,2050,1
India,trn_aviation_intl,International Aviation,Liquids,2100,1
India,trn_aviation_intl,International Aviation,BEV,1971,0
India,trn_aviation_intl,International Aviation,BEV,2010,0
India,trn_aviation_intl,International Aviation,BEV,2015,0
India,trn_aviation_intl,International Aviation,BEV,2021,0
India,trn_aviation_intl,International Aviation,BEV,2050,0.011
India,trn_aviation_intl,International Aviation,BEV,2100,0.1
India,trn_aviation_intl,International Aviation,Hydrogen,1971,0
India,trn_aviation_intl,International Aviation,Hydrogen,2010,0
India,trn_aviation_intl,International Aviation,Hydrogen,2015,0
India,trn_aviation_intl,International Aviation,Hydrogen,2021,0
India,trn_aviation_intl,International Aviation,Hydrogen,2050,0.105
India,trn_aviation_intl,International Aviation,Hydrogen,2100,1
India,trn_freight,Freight Rail,Coal,1971,1
India,trn_freight,Freight Rail,Coal,2010,0
India,trn_freight,Freight Rail,Coal,2015,0
India,trn_freight,Freight Rail,Coal,2021,0
India,trn_freight,Freight Rail,Coal,2050,0
India,trn_freight,Freight Rail,Coal,2100,0
India,trn_freight,Freight Rail,Electric,1971,1
India,trn_freight,Freight Rail,Electric,2010,1
India,trn_freight,Freight Rail,Electric,2015,1
India,trn_freight,Freight Rail,Electric,2021,1
India,trn_freight,Freight Rail,Electric,2050,1
India,trn_freight,Freight Rail,Electric,2100,1
India,trn_freight,Freight Rail,Liquids,1971,1
India,trn_freight,Freight Rail,Liquids,2010,1
India,trn_freight,Freight Rail,Liquids,2015,0.5
India,trn_freight,Freight Rail,Liquids,2021,0.1
India,trn_freight,Freight Rail,Liquids,2050,0
India,trn_freight,Freight Rail,Liquids,2100,0
